"Date","S_Level_ft","N_level_ft","S_level_m","N_level_m","S_area_m2","N_area_m2","S_vol_m3","N_vol_m3","Total_vol_m3"
"1967-11-01",4193.8,4193.3,1278.27024,1278.11784,1732082321.31566,1042826201.3755,7918556758.77541,4397887924.16658,12316444682.942
"1967-12-01",4193.9,4193.4,1278.30072,1278.14832,1740445719.81822,1046368087.69715,7971053680.32901,4429620584.61343,12400674264.9424
"1968-01-01",4194,4193.5,1278.3312,1278.1788,1748809118.32084,1049909974.01877,8023550601.88299,4461353245.06004,12484903846.943
"1968-02-01",4194.25,4193.8,1278.4074,1278.27024,1775323636.5766,1062312598.24241,8158864739.26155,4558164548.36508,12717029287.6266
"1968-03-01",4194.8,4194.1,1278.57504,1278.36168,1868651985.33375,1074313252.97693,8461501432.92178,4655619511.00219,13117120943.924
"1968-04-01",4195.3,4194.6,1278.72744,1278.51408,1947691342.97332,1102458489.26795,8750634936.05329,4820775656.42432,13571410592.4776
"1968-05-01",4195.45,4194.7,1278.77316,1278.54456,1964939744.95931,1115674771.2173,8839427502.19197,4854275426.77761,13693702928.9696
"1968-06-01",4195.4,4194.7,1278.75792,1278.54456,1959190277.63068,1115674771.2173,8809829980.14589,4854275426.77761,13664105406.9235
"1968-07-01",4195.45,4194.7,1278.77316,1278.54456,1964939744.95931,1115674771.2173,8839427502.19197,4854275426.77761,13693702928.9696
"1968-08-01",4194.95,4194.3,1278.62076,1278.42264,1902058900.58454,1081777730.14781,8545162711.06283,4721447698.53674,13266610409.5996
"1968-09-01",4194.65,4194.1,1278.52932,1278.36168,1835245070.08314,1074313252.97693,8377840154.78115,4655619511.00219,13033459665.7833
"1968-10-01",4194.3,4193.8,1278.42264,1278.27024,1780626540.22773,1062312598.24241,8185927566.73718,4558164548.36508,12744092115.1023
"1968-11-01",4194.4,4193.8,1278.45312,1278.27024,1791232347.53001,1062312598.24241,8240053221.68844,4558164548.36508,12798217770.0535
"1968-12-01",4194.55,4193.9,1278.49884,1278.30072,1812973793.24923,1066446806.31694,8322065969.35365,4590434982.79994,12912500952.1536
"1969-01-01",4194.9,4194.2,1278.60552,1278.39216,1890923262.16766,1078045491.56239,8517275618.34928,4688533604.76959,13205809223.1189
