"Date" "Slevel_ft" "Slevel_m" "Sarea_m2" "Svol_m3" "Nlevel_ft" "Nlevel_m" "Narea_m2" "Nvol_m3" "TotalArea_m2" "TotalVol_m3"
2007-11-20 4195.19 1278.693912 1850860334.15541 8639090362.18826 4194.56 1278.501888 1097171976.48837 4807375748.28341 2948032310.64378 13446466110.4717
2007-11-21 4195.12 1278.672576 1843441229.08912 8599462267.56227 4194.46 1278.471408 1087749311.88453 4774110248.56448 2931190540.97365 13373572516.1268
2007-11-22 4195.1 1278.66648 1841321484.78452 8588139954.81229 4194.48 1278.477504 1088495759.6016 4780693067.31776 2929817244.38612 13368833022.1301
2007-11-23 4195.16 1278.684768 1847680717.69847 8622106893.06308 4194.67 1278.535416 1111709886.63257 4844225495.6718 2959390604.33104 13466332388.7349
2007-11-24 4195.06 1278.654288 1837081996.17524 8565495329.3119 4194.41 1278.456168 1085883192.59179 4757653201.68066 2922965188.76703 13323148530.9926
2007-11-25 4195.05 1278.65124 1836022124.0229 8559834172.9367 4194.4 1278.45312 1085509968.73324 4754361792.30389 2921532092.75615 13314195965.2406
2007-11-26 4195.07 1278.657336 1838141868.3275 8571156485.68668 4194.42 1278.459216 1086256416.45037 4760944611.05767 2924398284.77787 13332101096.7444
2007-11-27 4195.11 1278.669528 1842381356.93678 8593801111.18707 4194.44 1278.465312 1087002864.16744 4767527429.81095 2929384221.10422 13361328540.998
2007-11-28 4195.07 1278.657336 1838141868.3275 8571156485.68668 4194.43 1278.462264 1086629640.30892 4764236020.43443 2924771508.63642 13335392506.1211
2007-11-29 4195.05 1278.65124 1836022124.0229 8559834172.9367 4194.39 1278.450072 1085136744.87472 4751070382.92738 2921158868.89763 13310904555.8641
2007-11-30 4195.05 1278.65124 1836022124.0229 8559834172.9367 4194.43 1278.462264 1086629640.30892 4764236020.43443 2922651764.33182 13324070193.3711
2007-12-01 4195.04 1278.648192 1834962251.87056 8554173016.5615 4194.52 1278.489696 1091885463.70859 4793975840.142 2926847715.57915 13348148856.7035
2007-12-02 4194.99 1278.632952 1828748420.23475 8526180026.92076 4194.37 1278.443976 1084390297.15763 4744487564.17385 2913138717.39238 13270667591.0946
2007-12-03 4195.04 1278.648192 1834962251.87056 8554173016.5615 4194.39 1278.450072 1085136744.87472 4751070382.92738 2920098996.74529 13305243399.4889
2007-12-04 4195.04 1278.648192 1834962251.87056 8554173016.5615 4194.39 1278.450072 1085136744.87472 4751070382.92738 2920098996.74529 13305243399.4889
2007-12-05 4195.05 1278.65124 1836022124.0229 8559834172.9367 4194.4 1278.45312 1085509968.73324 4754361792.30389 2921532092.75615 13314195965.2406
2007-12-06 4195.07 1278.657336 1838141868.3275 8571156485.68668 4194.4 1278.45312 1085509968.73324 4754361792.30389 2923651837.06075 13325518277.9906
2007-12-07 4195.12 1278.672576 1843441229.08912 8599462267.56227 4194.42 1278.459216 1086256416.45037 4760944611.05767 2929697645.53949 13360406878.6199
2007-12-08 4195.17 1278.687816 1848740589.85081 8627768049.43828 4194.63 1278.523224 1106423373.85279 4830825587.53038 2955163963.7036 13458593636.9687
2007-12-09 4195.19 1278.693912 1850860334.15541 8639090362.18826 4194.52 1278.489696 1091885463.70859 4793975840.142 2942745797.864 13433066202.3303
2007-12-10 4195.25 1278.7122 1857219567.06945 8673057300.43947 4194.53 1278.492744 1093207091.90344 4797325817.1771 2950426658.97288 13470383117.6166
2007-12-11 4195.27 1278.718296 1859339311.37412 8684379613.18988 4194.61 1278.517128 1103780117.4629 4824125633.45968 2963119428.83702 13508505246.6496
2007-12-12 4195.18 1278.690864 1849800462.00315 8633429205.81348 4194.41 1278.456168 1085883192.59179 4757653201.68066 2935683654.59494 13391082407.4941
2007-12-13 4195.2 1278.69696 1851920206.30775 8644751518.56346 4194.45 1278.46836 1087376088.02599 4770818839.18772 2939296294.33374 13415570357.7512
2007-12-14 4195.19 1278.693912 1850860334.15541 8639090362.18826 4194.45 1278.46836 1087376088.02599 4770818839.18772 2938236422.1814 13409909201.376
2007-12-15 4195.14 1278.678672 1845560973.39388 8610784580.3131 4194.41 1278.456168 1085883192.59179 4757653201.68066 2931444165.98567 13368437781.9938
2007-12-16 4195.18 1278.690864 1849800462.00315 8633429205.81348 4194.42 1278.459216 1086256416.45037 4760944611.05767 2936056878.45352 13394373816.8712
2007-12-17 4195.18 1278.690864 1849800462.00315 8633429205.81348 4194.44 1278.465312 1087002864.16744 4767527429.81095 2936803326.17059 13400956635.6244
2007-12-18 4195.18 1278.690864 1849800462.00315 8633429205.81348 4194.43 1278.462264 1086629640.30892 4764236020.43443 2936430102.31207 13397665226.2479
2007-12-19 4195.18 1278.690864 1849800462.00315 8633429205.81348 4194.42 1278.459216 1086256416.45037 4760944611.05767 2936056878.45352 13394373816.8712
2007-12-20 4195.22 1278.703056 1854039950.61243 8656073831.31387 4194.47 1278.474456 1088122535.74308 4777401657.94125 2942162486.35551 13433475489.2551
2007-12-21 4195.36 1278.745728 1868878160.74494 8735330020.56543 4194.61 1278.517128 1103780117.4629 4824125633.45968 2972658278.20784 13559455654.0251
2007-12-22 4195.24 1278.709152 1856159694.91703 8667396144.06385 4194.52 1278.489696 1091885463.70859 4793975840.142 2948045158.62562 13461371984.2058
2007-12-23 4195.23 1278.706104 1855099822.76469 8661734987.68865 4194.49 1278.480552 1088868983.46015 4783984476.69453 2943968806.22484 13445719464.3832
2007-12-24 4195.35 1278.74268 1867818288.59268 8729668864.19065 4194.59 1278.511032 1101136861.07311 4817425679.38922 2968955149.66578 13547094543.5799
2007-12-25 4195.34 1278.739632 1866758416.44034 8724007707.81544 4194.6 1278.51408 1102458489.26805 4820775656.42457 2969216905.70839 13544783364.24
2007-12-26 4195.25 1278.7122 1857219567.06945 8673057300.43947 4194.51 1278.486648 1090563835.51364 4790625863.10665 2947783402.58309 13463683163.5461
2007-12-27 4195.26 1278.715248 1858279439.22179 8678718456.81467 4194.53 1278.492744 1093207091.90344 4797325817.1771 2951486531.12522 13476044273.9918
2007-12-28 4195.2 1278.69696 1851920206.30775 8644751518.56346 4194.5 1278.4836 1089242207.3187 4787275886.07129 2941162413.62645 13432027404.6348
2007-12-29 4195.23 1278.706104 1855099822.76469 8661734987.68865 4194.49 1278.480552 1088868983.46015 4783984476.69453 2943968806.22484 13445719464.3832
2007-12-30 4195.34 1278.739632 1866758416.44034 8724007707.81544 4194.65 1278.52932 1109066630.24258 4837525541.60084 2975825046.68292 13561533249.4163
2007-12-31 4195.29 1278.724392 1861459055.67872 8695701925.93986 4194.58 1278.507984 1099815232.87816 4814075702.35387 2961274288.55688 13509777628.2937
2008-01-01 4195.24 1278.709152 1856159694.91703 8667396144.06385 4194.5 1278.4836 1089242207.3187 4787275886.07129 2945401902.23573 13454672030.1351
2008-01-02 4195.26 1278.715248 1858279439.22179 8678718456.81467 4194.51 1278.486648 1090563835.51364 4790625863.10665 2948843274.73543 13469344319.9213
2008-01-03 4195.24 1278.709152 1856159694.91703 8667396144.06385 4194.53 1278.492744 1093207091.90344 4797325817.1771 2949366786.82046 13464721961.241
2008-01-04 4195.14 1278.678672 1845560973.39388 8610784580.3131 4194.47 1278.474456 1088122535.74308 4777401657.94125 2933683509.13696 13388186238.2543
2008-01-05 4195.17 1278.687816 1848740589.85081 8627768049.43828 4194.58 1278.507984 1099815232.87816 4814075702.35387 2948555822.72897 13441843751.7921
2008-01-06 4195.31 1278.730488 1863578799.9834 8707024238.69026 4194.63 1278.523224 1106423373.85279 4830825587.53038 2970002173.83619 13537849826.2206
2008-01-07 4195.28 1278.721344 1860399183.52638 8690040769.56466 4194.61 1278.517128 1103780117.4629 4824125633.45968 2964179300.98928 13514166403.0243
2008-01-08 4195.27 1278.718296 1859339311.37412 8684379613.18988 4194.61 1278.517128 1103780117.4629 4824125633.45968 2963119428.83702 13508505246.6496
2008-01-09 4195.35 1278.74268 1867818288.59268 8729668864.19065 4194.69 1278.541512 1114353143.02236 4850925449.74225 2982171431.61504 13580594313.9329
2008-01-10 4195.32 1278.733536 1864638672.13566 8712685395.06504 4194.62 1278.520176 1105101745.65784 4827475610.49503 2969740417.7935 13540161005.5601
2008-01-11 4195.33 1278.736584 1865698544.288 8718346551.44024 4194.66 1278.532368 1110388258.43762 4840875518.63644 2976086802.72562 13559222070.0767
